Horizon,Model,FeatureSet,MAE,KPI_Hits,Total,N_Features
h=12,Stacking,Production,0.3680634816634945,24,35,10
h=12,Stacking,Services,0.366642338924074,25,35,10
h=12,Stacking,Ultimate,0.364350795045775,24,35,9
h=12,Voting,Components,0.3510269617137628,26,35,10
h=12,Voting,Components_momentum,0.3591564800399616,23,35,14
h=12,Voting,AR_full,0.37599412729986453,25,35,14
h=12,Voting,IBVED_focus,0.3634681222698512,26,35,4
h=12,Voting,Components_IBVED,0.3555281276796868,26,35,7
h=12,Voting,Rates,0.37774392658311545,28,35,11
h=12,Voting,USD_focus,0.3569471545958403,27,35,9
h=12,Voting,Brent_focus,0.37358234879003904,16,20,9
h=12,Voting,Components_Rates,0.3654460354264732,26,35,9
h=12,Voting,Full_macro,0.3631437915333544,24,32,11
h=12,Voting,Minimal_plus,0.37336376519429115,25,35,6
h=12,Voting,AR_volatility,0.372094432651042,25,35,9
h=12,Voting,Production,0.3705617344582208,25,35,10
h=12,Voting,Services,0.3637971044006276,26,35,10
h=12,Voting,Ultimate,0.37247054898492465,26,35,9
