horizon,model,baseline,target_month,N_pair,N_planned,candidate_error,baseline_error,absolute_loss_difference
1,Huber,Ridge,2025-04-01,24,24,0.4153875809224701,0.36912572904506646,0.046261851877403615
1,Huber,Ridge,2025-05-01,24,24,0.5469980983768039,0.5469797017547222,1.839662208169557e-05
1,Huber,Ridge,2025-06-01,24,24,0.03229069227610637,0.055009854317333406,-0.022719162041227037
1,Huber,Ridge,2025-07-01,24,24,-0.3507590533085363,-0.4446481224601797,-0.09388906915164341
1,Huber,Ridge,2025-08-01,24,24,0.4758510219698593,0.39810021919093685,0.07775080277892243
1,Huber,Ridge,2025-09-01,24,24,-0.5926685301522383,-0.6003137435213262,-0.007645213369087855
1,Huber,Ridge,2025-10-01,24,24,0.04322852017148193,0.04846178145515978,-0.005233261283677848
1,Huber,Ridge,2025-11-01,24,24,0.28456972568250194,0.3338499551578451,-0.04928022947534316
1,Huber,Ridge,2025-12-01,24,24,0.026409459671640434,0.023697158586131195,0.002712301085509239
1,Huber,Ridge,2026-01-01,24,24,-0.6083002726162761,-0.6078550696468028,0.0004452029694732573
1,Huber,Ridge,2026-02-01,24,24,-0.36631131555235186,-0.24945962948905276,0.1168516860632991
1,Huber,Ridge,2026-03-01,24,24,0.20182310736899467,0.17563996131009674,0.026183146058897933
1,Huber,Ridge,2026-04-01,24,24,0.7599688955821904,0.8227150608685179,-0.06274616528632748
1,Huber,Ridge,2026-05-01,24,24,0.3110543073435821,0.32505420858630885,-0.013999901242726764
1,Huber,Ridge,2026-06-01,24,24,-1.0669420892676413,-1.0294909707675828,0.037451118500058556
1,Huber,Ridge,2026-07-01,24,24,0.1490036062327107,0.1461776044591545,0.002826001773556186
1,Huber,SeasonalNaive,2024-08-01,24,24,-0.010722811326843384,-0.1599999999999966,-0.1492771886731532
1,Huber,SeasonalNaive,2024-09-01,24,24,-0.15127140895228308,1.1299999999999955,-0.9787285910477124
1,Huber,SeasonalNaive,2024-10-01,24,24,-0.4607828987570173,-0.5600000000000023,-0.099217101242985
1,Huber,SeasonalNaive,2024-11-01,24,24,-0.9351277576874537,-0.7600000000000051,0.1751277576874486
1,Huber,SeasonalNaive,2024-12-01,24,24,0.33717085649078626,-0.6199999999999903,-0.2828291435092041
1,Huber,SeasonalNaive,2025-01-01,24,24,0.18323589053740363,0.030000000000001137,0.1532358905374025
1,Huber,SeasonalNaive,2025-02-01,24,24,-0.6706243572502188,-0.8100000000000023,-0.13937564274978342
1,Huber,SeasonalNaive,2025-03-01,24,24,-0.12545608247035034,-0.28000000000000114,-0.1545439175296508
1,Huber,SeasonalNaive,2025-04-01,24,24,0.4153875809224701,-0.15000000000000568,0.2653875809224644
1,Huber,SeasonalNaive,2025-05-01,24,24,0.5469980983768039,1.009999999999991,-0.463001901623187
1,Huber,SeasonalNaive,2025-06-01,24,24,0.03229069227610637,0.22000000000001307,-0.1877093077239067
1,Huber,SeasonalNaive,2025-07-01,24,24,-0.3507590533085363,0.7099999999999937,-0.35924094669145745
1,Huber,SeasonalNaive,2025-08-01,24,24,0.4758510219698593,0.6599999999999966,-0.1841489780301373
1,Huber,SeasonalNaive,2025-09-01,24,24,-0.5926685301522383,-0.37999999999999545,0.21266853015224285
1,Huber,SeasonalNaive,2025-10-01,24,24,0.04322852017148193,0.4899999999999949,-0.44677147982851295
1,Huber,SeasonalNaive,2025-11-01,24,24,0.28456972568250194,1.3499999999999943,-1.0654302743174924
1,Huber,SeasonalNaive,2025-12-01,24,24,0.026409459671640434,0.6199999999999903,-0.5935905403283499
1,Huber,SeasonalNaive,2026-01-01,24,24,-0.6083002726162761,-0.7299999999999898,-0.12169972738371371
1,Huber,SeasonalNaive,2026-02-01,24,24,-0.36631131555235186,0.2400000000000091,0.12631131555234276
1,Huber,SeasonalNaive,2026-03-01,24,24,0.20182310736899467,0.269999999999996,-0.06817689263100135
1,Huber,SeasonalNaive,2026-04-01,24,24,0.7599688955821904,0.8100000000000023,-0.05003110441781189
1,Huber,SeasonalNaive,2026-05-01,24,24,0.3110543073435821,-0.1599999999999966,0.1510543073435855
1,Huber,SeasonalNaive,2026-06-01,24,24,-1.0669420892676413,-1.1000000000000085,-0.03305791073236719
1,Huber,SeasonalNaive,2026-07-01,24,24,0.1490036062327107,-0.45999999999999375,-0.31099639376728305
1,Huber,Micro,2024-08-01,24,24,-0.010722811326843384,0.18583689421154603,-0.17511408288470265
1,Huber,Micro,2024-09-01,24,24,-0.15127140895228308,-0.28354040110563306,-0.13226899215334997
1,Huber,Micro,2024-10-01,24,24,-0.4607828987570173,-0.4475691896953107,0.013213709061706602
1,Huber,Micro,2024-11-01,24,24,-0.9351277576874537,-0.799222355727434,0.13590540196001966
1,Huber,Micro,2024-12-01,24,24,0.33717085649078626,-0.16244744065736394,0.17472341583342232
1,Huber,Micro,2025-01-01,24,24,0.18323589053740363,-0.06655494198363343,0.1166809485537702
1,Huber,Micro,2025-02-01,24,24,-0.6706243572502188,-0.6314981506068399,0.03912620664337896
1,Huber,Micro,2025-03-01,24,24,-0.12545608247035034,-0.053570351575272346,0.07188573089507799
1,Huber,Micro,2025-04-01,24,24,0.4153875809224701,0.08528632437420214,0.33010125654826794
1,Huber,Micro,2025-05-01,24,24,0.5469980983768039,0.6463432371809437,-0.09934513880413975
1,Huber,Micro,2025-06-01,24,24,0.03229069227610637,0.40109261263964435,-0.368801920363538
1,Huber,Micro,2025-07-01,24,24,-0.3507590533085363,-0.023845867928731224,0.32691318537980507
1,Huber,Micro,2025-08-01,24,24,0.4758510219698593,0.8722340620638094,-0.3963830400939501
1,Huber,Micro,2025-09-01,24,24,-0.5926685301522383,-0.5479242417670475,0.044744288385190845
1,Huber,Micro,2025-10-01,24,24,0.04322852017148193,0.22376651566661976,-0.18053799549513783
1,Huber,Micro,2025-11-01,24,24,0.28456972568250194,0.5890425401434743,-0.3044728144609724
1,Huber,Micro,2025-12-01,24,24,0.026409459671640434,0.4545153480200589,-0.42810588834841845
1,Huber,Micro,2026-01-01,24,24,-0.6083002726162761,-0.7598814111532413,-0.1515811385369652
1,Huber,Micro,2026-02-01,24,24,-0.36631131555235186,-0.2357492171756036,0.13056209837674826
1,Huber,Micro,2026-03-01,24,24,0.20182310736899467,0.32856696468775803,-0.12674385731876336
1,Huber,Micro,2026-04-01,24,24,0.7599688955821904,0.8933305633715384,-0.133361667789348
1,Huber,Micro,2026-05-01,24,24,0.3110543073435821,0.31352201176172617,-0.00246770441814409
1,Huber,Micro,2026-06-01,24,24,-1.0669420892676413,-0.6545162688759948,0.41242582039164655
1,Huber,Micro,2026-07-01,24,24,0.1490036062327107,-0.1887363742085203,-0.0397327679758096
1,Huber,GroupsFixed,2024-08-01,24,24,-0.010722811326843384,0.23362743026989724,-0.22290461894305386
1,Huber,GroupsFixed,2024-09-01,24,24,-0.15127140895228308,-0.43845958090250287,-0.2871881719502198
1,Huber,GroupsFixed,2024-10-01,24,24,-0.4607828987570173,-0.48874849678157073,-0.02796559802455345
1,Huber,GroupsFixed,2024-11-01,24,24,-0.9351277576874537,-0.843215477434377,0.09191228025307674
1,Huber,GroupsFixed,2024-12-01,24,24,0.33717085649078626,-0.15904477323393518,0.1781260832568511
1,Huber,GroupsFixed,2025-01-01,24,24,0.18323589053740363,-0.08282154963843258,0.10041434089897106
1,Huber,GroupsFixed,2025-02-01,24,24,-0.6706243572502188,-0.6744787913484572,-0.0038544340982383796
1,Huber,GroupsFixed,2025-03-01,24,24,-0.12545608247035034,-0.11452804901947,0.010928033450880337
1,Huber,GroupsFixed,2025-04-01,24,24,0.4153875809224701,0.026216845803819,0.3891707351186511
1,Huber,GroupsFixed,2025-05-01,24,24,0.5469980983768039,0.501310731392328,0.04568736698447595
1,Huber,GroupsFixed,2025-06-01,24,24,0.03229069227610637,0.3110265619813182,-0.2787358697052118
1,Huber,GroupsFixed,2025-07-01,24,24,-0.3507590533085363,-0.12726345387359983,0.22349559943493646
1,Huber,GroupsFixed,2025-08-01,24,24,0.4758510219698593,0.7842150400304845,-0.3083640180606252
1,Huber,GroupsFixed,2025-09-01,24,24,-0.5926685301522383,-0.7599730405593916,-0.16730451040715333
1,Huber,GroupsFixed,2025-10-01,24,24,0.04322852017148193,0.1223745145122711,-0.07914599434078917
1,Huber,GroupsFixed,2025-11-01,24,24,0.28456972568250194,0.5412472213145224,-0.25667749563202047
1,Huber,GroupsFixed,2025-12-01,24,24,0.026409459671640434,0.42722762715406704,-0.4008181674824266
1,Huber,GroupsFixed,2026-01-01,24,24,-0.6083002726162761,-0.8506260643726028,-0.24232579175632674
1,Huber,GroupsFixed,2026-02-01,24,24,-0.36631131555235186,-0.28854871329665743,0.07776260225569442
1,Huber,GroupsFixed,2026-03-01,24,24,0.20182310736899467,0.2263589728410106,-0.024535865472015916
1,Huber,GroupsFixed,2026-04-01,24,24,0.7599688955821904,0.7505112058824355,0.009457689699754912
1,Huber,GroupsFixed,2026-05-01,24,24,0.3110543073435821,0.17509004773328724,0.13596425961029485
1,Huber,GroupsFixed,2026-06-01,24,24,-1.0669420892676413,-0.7340607700694574,0.332881319198184
1,Huber,GroupsFixed,2026-07-01,24,24,0.1490036062327107,-0.33050970598416235,-0.18150609975145165
1,Huber,GroupsDated,2024-08-01,24,24,-0.010722811326843384,0.21788366091123923,-0.20716084958439585
1,Huber,GroupsDated,2024-09-01,24,24,-0.15127140895228308,-0.44988909068868643,-0.29861768173640335
1,Huber,GroupsDated,2024-10-01,24,24,-0.4607828987570173,-0.5006888303788609,-0.03990593162184364
1,Huber,GroupsDated,2024-11-01,24,24,-0.9351277576874537,-0.8442211932593391,0.09090656442811462
1,Huber,GroupsDated,2024-12-01,24,24,0.33717085649078626,-0.14162879879283963,0.19554205769794664
1,Huber,GroupsDated,2025-01-01,24,24,0.18323589053740363,-0.05514497207641045,0.1280909184609932
1,Huber,GroupsDated,2025-02-01,24,24,-0.6706243572502188,-0.6711814368931267,-0.0005570796429078539
1,Huber,GroupsDated,2025-03-01,24,24,-0.12545608247035034,-0.10589605078828124,0.0195600316820691
1,Huber,GroupsDated,2025-04-01,24,24,0.4153875809224701,0.03666658978891235,0.3787209911335577
1,Huber,GroupsDated,2025-05-01,24,24,0.5469980983768039,0.5058607491387649,0.04113734923803902
1,Huber,GroupsDated,2025-06-01,24,24,0.03229069227610637,0.31037741102727157,-0.2780867187511652
1,Huber,GroupsDated,2025-07-01,24,24,-0.3507590533085363,-0.11112029378822202,0.23963875952031427
1,Huber,GroupsDated,2025-08-01,24,24,0.4758510219698593,0.8008286529093198,-0.3249776309394605
1,Huber,GroupsDated,2025-09-01,24,24,-0.5926685301522383,-0.7364241446014588,-0.14375561444922047
1,Huber,GroupsDated,2025-10-01,24,24,0.04322852017148193,0.07620040446258713,-0.0329718842911052
1,Huber,GroupsDated,2025-11-01,24,24,0.28456972568250194,0.48126061507325546,-0.19669088939075352
1,Huber,GroupsDated,2025-12-01,24,24,0.026409459671640434,0.3714784910375941,-0.3450690313659537
1,Huber,GroupsDated,2026-01-01,24,24,-0.6083002726162761,-0.8866536508573574,-0.2783533782410813
1,Huber,GroupsDated,2026-02-01,24,24,-0.36631131555235186,-0.26974230563863355,0.0965690099137183
1,Huber,GroupsDated,2026-03-01,24,24,0.20182310736899467,0.25587603576489937,-0.0540529283959047
1,Huber,GroupsDated,2026-04-01,24,24,0.7599688955821904,0.7446710703317053,0.015297825250485064
1,Huber,GroupsDated,2026-05-01,24,24,0.3110543073435821,0.16358190277820378,0.1474724045653783
1,Huber,GroupsDated,2026-06-01,24,24,-1.0669420892676413,-0.7341639715048913,0.33277811776275
1,Huber,GroupsDated,2026-07-01,24,24,0.1490036062327107,-0.2763779827447659,-0.1273743765120552
1,SeasonalNaive,Ridge,2024-08-01,24,24,-0.1599999999999966,0.010534832337924627,0.14946516766207196
1,SeasonalNaive,Ridge,2024-09-01,24,24,1.1299999999999955,-0.12814750158511856,1.001852498414877
1,SeasonalNaive,Ridge,2024-10-01,24,24,-0.5600000000000023,-0.45742628597942314,0.10257371402057913
1,SeasonalNaive,Ridge,2024-11-01,24,24,-0.7600000000000051,-0.892461594689749,-0.13246159468974383
1,SeasonalNaive,Ridge,2024-12-01,24,24,-0.6199999999999903,0.4314984125563228,0.18850158744366752
1,SeasonalNaive,Ridge,2025-01-01,24,24,0.030000000000001137,0.17694589296706908,-0.14694589296706795
1,SeasonalNaive,Ridge,2025-02-01,24,24,-0.8100000000000023,-0.8042696424575126,0.005730357542489628
1,SeasonalNaive,Ridge,2025-03-01,24,24,-0.28000000000000114,-0.14865028948442216,0.13134971051557898
1,SeasonalNaive,Ridge,2025-04-01,24,24,-0.15000000000000568,0.36912572904506646,-0.21912572904506078
1,SeasonalNaive,Ridge,2025-05-01,24,24,1.009999999999991,0.5469797017547222,0.4630202982452687
1,SeasonalNaive,Ridge,2025-06-01,24,24,0.22000000000001307,0.055009854317333406,0.16499014568267967
1,SeasonalNaive,Ridge,2025-07-01,24,24,0.7099999999999937,-0.4446481224601797,0.26535187753981404
1,SeasonalNaive,Ridge,2025-08-01,24,24,0.6599999999999966,0.39810021919093685,0.26189978080905973
1,SeasonalNaive,Ridge,2025-09-01,24,24,-0.37999999999999545,-0.6003137435213262,-0.2203137435213307
1,SeasonalNaive,Ridge,2025-10-01,24,24,0.4899999999999949,0.04846178145515978,0.4415382185448351
1,SeasonalNaive,Ridge,2025-11-01,24,24,1.3499999999999943,0.3338499551578451,1.0161500448421492
1,SeasonalNaive,Ridge,2025-12-01,24,24,0.6199999999999903,0.023697158586131195,0.5963028414138591
1,SeasonalNaive,Ridge,2026-01-01,24,24,-0.7299999999999898,-0.6078550696468028,0.12214493035318696
1,SeasonalNaive,Ridge,2026-02-01,24,24,0.2400000000000091,-0.24945962948905276,-0.009459629489043664
1,SeasonalNaive,Ridge,2026-03-01,24,24,0.269999999999996,0.17563996131009674,0.09436003868989928
1,SeasonalNaive,Ridge,2026-04-01,24,24,0.8100000000000023,0.8227150608685179,-0.012715060868515593
