Item_code;Товар;Компонент;Субкомпонент;Weight
381;Монитор для настольного компьютера, шт.;Непродовольственные товары;Персональные компьютеры;0.00052
382;Морковь, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.0021
384;Мороженое сливочное, кг;Продовольственные товары;Другие продовольственные товары;0.00491
386;Музеи и выставки, билет;Услуги;Услуги организаций культуры;9e-05
388;Мука пшеничная, кг;Продовольственные товары;Другие продовольственные товары;0.00424
389;Мыло туалетное, 100 г;Непродовольственные товары;Моющие и чистящие средства;0.00099
390;Мыло хозяйственное, 200 г;Непродовольственные товары;Моющие и чистящие средства;0.00174
393;Мясо индейки, кг;Продовольственные товары;Мясопродукты;0.00424
395;Мясокопчености, кг;Продовольственные товары;Мясопродукты;0.00303
396;Мяч футбольный, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00026
397;Набор корпусной мебели, комплект;Непродовольственные товары;Мебель;0.00062
399;Набор фломастеров, набор;Непродовольственные товары;Другие непродовольственные товары;0.00032
400;Наём жилых помещений в государственном и муниципальном жилищных фондах, м2 общей площади;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00012
402;Напитки газированные, л;Продовольственные товары;Другие продовольственные товары;0.00389
404;Национальные сыры и брынза, кг;Продовольственные товары;Сыр;0.00741
405;Начальный курс обучения вождению легкового автомобиля, курс;Услуги;Услуги в системе образования;0.00108
406;Нимесулид, 100 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.0004
408;Нитки швейные, катушка;Непродовольственные товары;Другие непродовольственные товары;0.00011
410;Носки мужские, пара;Непродовольственные товары;Другие непродовольственные товары;0.00108
411;Носки, гольфы детские, пара;Непродовольственные товары;Другие непродовольственные товары;0.00017
412;Обед в ресторане, на 1 человека;Продовольственные товары;Общественное питание;0.00201
413;Обед в столовой, кафе, закусочной (кроме столовой в организации), на 1 человека;Продовольственные товары;Общественное питание;0.00697
415;Обои виниловые, 10 м;Непродовольственные товары;Строительные материалы;0.00248
416;Обращение с твердыми коммунальными отходами, с человека;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00398
420;Обувь домашняя с текстильным верхом для взрослых, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00161
421;Обувь домашняя с текстильным верхом для детей, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00017
426;Обучение в государственных и муниципальных образовательных организациях высшего профессионального образования, семестр;Услуги;Услуги в системе образования;0.00346
