Code,Day,Region_code,Item_code,MoM,YoY,Calc,Date
10010070665,01/01/10 00:00:00,7,665,100.0,118.22,0,2010-01-01
10010070666,01/01/10 00:00:00,7,666,100.0,126.49,0,2010-01-01
10010070679,01/01/10 00:00:00,7,679,100.0,103.04,0,2010-01-01
10010070690,01/01/10 00:00:00,7,690,98.120003,75.519997,0,2010-01-01
10010070692,01/01/10 00:00:00,7,692,100.0,112.43,0,2010-01-01
10010070694,01/01/10 00:00:00,7,694,100.0,99.120003,0,2010-01-01
10010070695,01/01/10 00:00:00,7,695,100.0,110.0,0,2010-01-01
10010070697,01/01/10 00:00:00,7,697,98.959999,118.65,0,2010-01-01
10010070701,01/01/10 00:00:00,7,701,100.0,100.0,0,2010-01-01
10010070703,01/01/10 00:00:00,7,703,99.629997,116.86,0,2010-01-01
10010070704,01/01/10 00:00:00,7,704,100.0,109.18,0,2010-01-01
10010070706,01/01/10 00:00:00,7,706,105.69,127.79,0,2010-01-01
10010070710,01/01/10 00:00:00,7,710,100.0,99.589996,0,2010-01-01
10010070711,01/01/10 00:00:00,7,711,100.0,111.75,0,2010-01-01
10010070712,01/01/10 00:00:00,7,712,100.0,107.78,0,2010-01-01
10010070714,01/01/10 00:00:00,7,714,100.0,70.550003,0,2010-01-01
10010070716,01/01/10 00:00:00,7,716,100.0,114.8,0,2010-01-01
10010070717,01/01/10 00:00:00,7,717,98.43,121.26,0,2010-01-01
10010070718,01/01/10 00:00:00,7,718,100.0,107.21,0,2010-01-01
10010070721,01/01/10 00:00:00,7,721,100.0,104.83,0,2010-01-01
10010070722,01/01/10 00:00:00,7,722,100.0,103.58,0,2010-01-01
10010070723,01/01/10 00:00:00,7,723,100.0,157.10001,0,2010-01-01
10010070726,01/01/10 00:00:00,7,726,100.0,115.77,0,2010-01-01
10010070727,01/01/10 00:00:00,7,727,100.0,140.0,0,2010-01-01
10010070728,01/01/10 00:00:00,7,728,100.0,115.06,0,2010-01-01
10010070730,01/01/10 00:00:00,7,730,100.0,108.88,0,2010-01-01
10010070734,01/01/10 00:00:00,7,734,100.78,114.7,0,2010-01-01
10010070735,01/01/10 00:00:00,7,735,100.0,109.76,0,2010-01-01
10010070740,01/01/10 00:00:00,7,740,100.0,100.0,0,2010-01-01
10010070741,01/01/10 00:00:00,7,741,100.0,122.52,0,2010-01-01
10010070742,01/01/10 00:00:00,7,742,100.0,109.93,0,2010-01-01
10010070743,01/01/10 00:00:00,7,743,100.0,107.13,0,2010-01-01
10010070745,01/01/10 00:00:00,7,745,109.3,109.3,0,2010-01-01
10010070746,01/01/10 00:00:00,7,746,109.27,109.27,0,2010-01-01
10010070748,01/01/10 00:00:00,7,748,100.0,118.75,0,2010-01-01
10010070750,01/01/10 00:00:00,7,750,100.0,117.11,0,2010-01-01
10010070751,01/01/10 00:00:00,7,751,102.86,116.65,0,2010-01-01
10010070753,01/01/10 00:00:00,7,753,102.11,82.120003,0,2010-01-01
10010070754,01/01/10 00:00:00,7,754,95.120003,89.440002,0,2010-01-01
10010070786,01/01/10 00:00:00,7,786,100.0,97.800003,0,2010-01-01
10010070851,01/01/10 00:00:00,7,851,95.129997,134.64,0,2010-01-01
10020070101,02/01/10 00:00:00,7,101,100.0,100.0,0,2010-02-01
10020070103,02/01/10 00:00:00,7,103,107.93,116.07,0,2010-02-01
10020070107,02/01/10 00:00:00,7,107,110.81,120.58,0,2010-02-01
10020070109,02/01/10 00:00:00,7,109,100.0,122.95,0,2010-02-01
10020070112,02/01/10 00:00:00,7,112,100.0,102.16,0,2010-02-01
10020070113,02/01/10 00:00:00,7,113,93.940002,100.09,0,2010-02-01
10020070115,02/01/10 00:00:00,7,115,102.77,116.51,0,2010-02-01
10020070116,02/01/10 00:00:00,7,116,100.0,102.82,0,2010-02-01
10020070119,02/01/10 00:00:00,7,119,100.0,100.0,0,2010-02-01
10020070120,02/01/10 00:00:00,7,120,106.99,177.07001,0,2010-02-01
10020070121,02/01/10 00:00:00,7,121,118.17,82.120003,0,2010-02-01
10020070122,02/01/10 00:00:00,7,122,101.18,101.62,0,2010-02-01
10020070123,02/01/10 00:00:00,7,123,100.0,110.87,0,2010-02-01
10020070124,02/01/10 00:00:00,7,124,100.0,111.72,0,2010-02-01
10020070126,02/01/10 00:00:00,7,126,100.0,113.28,0,2010-02-01
10020070130,02/01/10 00:00:00,7,130,100.0,107.94,0,2010-02-01
10020070131,02/01/10 00:00:00,7,131,100.0,106.84,0,2010-02-01
