item_code,item_name,item_weight,source_component,source_subcomponent,subcomponent_code,external_var,mapping_source
566,"Сапоги женские зимние с верхом из натуральной кожи, пара",0.00253,Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",27,n_obuv,micro_sprav_subcomponent_exact
489,"Подушка, шт.",0.00248,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
263,"Ковер, ковровое покрытие (палас) синтетический, м2",0.00279,Непродовольственные товары,Другие непродовольственные товары,54,n_proch,micro_sprav_subcomponent_exact
675,"Услуги организатора проведения торжеств, услуга",0.00247,Услуги,,12,u_bit,service_name_rule
578,"Свинина бескостная, кг",0.00257,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
661,"Тюль, полотно гардинное, м",0.0022,Непродовольственные товары,Галантерея,13,n_galant,micro_sprav_subcomponent_exact
710,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",0.00255,Продовольственные товары,Хлеб и хлебобулочные изделия,49,p_bread,micro_sprav_subcomponent_exact
223,"Жидкие чистящие и моющие средства, л",0.00353,Непродовольственные товары,Моющие и чистящие средства,25,n_mou_sr,micro_sprav_subcomponent_exact
379,"Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л",0.00232,Продовольственные товары,Молоко и молочная продукция,24,p_milk,micro_sprav_subcomponent_exact
717,"Чай черный байховый, кг",0.00269,Продовольственные товары,"Чай, кофе, какао",50,p_tea,micro_sprav_subcomponent_exact
712,"Холодильник двухкамерный, емкостью 250-360 л, шт.",0.00262,Непродовольственные товары,Электротовары и другие бытовые приборы,51,n_electro,micro_sprav_subcomponent_exact
137,"Блузка женская, шт.",0.00257,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
571,"Сапоги, ботинки мужские зимние с верхом из натуральной кожи, пара",0.00223,Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",27,n_obuv,micro_sprav_subcomponent_exact
1051,"Туфли женские летние, босоножки, пара",0.00356,Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",27,n_obuv,micro_sprav_subcomponent_exact
280,"Комплект постельного белья полутораспальный из хлопчатобумажной ткани, комплект",0.0027,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
329,"Куртка женская без утеплителя (ветровка), шт.",0.00271,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
503,"Полуботинки, туфли мужские с верхом из натуральной кожи, пара",0.00277,Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",27,n_obuv,micro_sprav_subcomponent_exact
326,"Кулинарные изделия из птицы, кг",0.00167,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
342,"Лечение кариеса, пломба",0.00221,Услуги,,22,u_med,service_name_rule
610,"Стул с мягким сиденьем, шт.",0.00259,Непродовольственные товары,Мебель,20,n_mebel,micro_sprav_subcomponent_exact
646,"Торты, кг",0.00277,Продовольственные товары,Кондитерские изделия,16,p_sweet,micro_sprav_subcomponent_exact
301,"Коньяк ординарный отечественный, л",0.00278,Продовольственные товары,Алкогольные напитки,11,p_alco,micro_sprav_subcomponent_exact
352,"Майонез, кг",0.00223,Продовольственные товары,Другие продовольственные товары,53,p_proch,micro_sprav_subcomponent_exact
629,"Телевизор цветного изображения, шт.",0.00258,Непродовольственные товары,Телерадиотовары,41,n_tv,micro_sprav_subcomponent_exact
982,"Бумажные столовые салфетки, упаковка 10 шт.",0.00306,Непродовольственные товары,Другие непродовольственные товары,54,n_proch,micro_sprav_subcomponent_exact
442,"Одеяло стеганое, шт.",0.00247,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
249,"Капуста белокочанная свежая, кг",0.00236,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
358,"Масло оливковое, л",0.00257,Продовольственные товары,Масло и жиры,19,p_butter,micro_sprav_subcomponent_exact
558,"Рыба мороженая неразделанная, кг",0.00303,Продовольственные товары,Рыбопродукты,34,p_fish,micro_sprav_subcomponent_exact
730,"Шкаф для платья и белья, шт.",0.0023,Непродовольственные товары,Мебель,20,n_mebel,micro_sprav_subcomponent_exact
