Feature,Horizon,Pearson_r,P_value,Abs_r,N,Significant
ibved_m_L4,h=2,-0.09364625229971885,0.5603194777975934,0.09364625229971885,41,False
ibved_m_L1,h=2,0.09352009191572437,0.5459705196099344,0.09352009191572437,44,False
Ruonia_L9,h=2,-0.09338353104851337,0.3364113151867548,0.09338353104851337,108,False
reg_shipped_L2,h=2,0.09318861695547123,0.321892140556912,0.09318861695547123,115,False
ibved_q_L3,h=2,-0.0931138498952622,0.4236906961849008,0.0931138498952622,76,False
Ruonia_L2,h=2,-0.09281322443365284,0.32385379870449416,0.09281322443365284,115,False
ki_i_L7,h=2,0.09235202588620035,0.33726456761766194,0.09235202588620035,110,False
serv_L8,h=2,0.09234918199333111,0.33953669715669815,0.09234918199333111,109,False
ki_i_L8,h=2,0.09203659720092934,0.34118093121071386,0.09203659720092934,109,False
reg_agri_prices_L6,h=2,-0.09195453637364204,0.3371207204577097,0.09195453637364204,111,False
reg_housing_secondary_L11,h=2,0.09190460431462882,0.353467410574164,0.09190460431462882,104,False
reg_retail_L9,h=2,-0.09120097751142169,0.34787560290444614,0.09120097751142169,108,False
serv_L1,h=2,-0.09092206050980413,0.33171371869508975,0.09092206050980413,116,False
nonprod_L3,h=2,-0.09076081376256916,0.336871760212594,0.09076081376256916,114,False
reg_wage_agri_STD3,h=2,-0.08992619962055252,0.33919636445174894,0.08992619962055252,115,False
ki_D3,h=2,-0.08992498685558638,0.3413586005146663,0.08992498685558638,114,False
prod_MA6,h=2,-0.08976227810299178,0.34660271309587726,0.08976227810299178,112,False
usd_L9,h=2,-0.08958649405873287,0.35651164279227054,0.08958649405873287,108,False
reg_ppi_D6,h=2,-0.08851631205748645,0.35557199719769494,0.08851631205748645,111,False
brent_pct_L8,h=2,0.08811707207947417,0.3622231856032146,0.08811707207947417,109,False
nonprod_L12,h=2,-0.08777331381995389,0.3732712722321234,0.08777331381995389,105,False
reg_profit_L2,h=2,-0.08712427417918288,0.3545191492236788,0.08712427417918288,115,False
ki_i_MA6,h=2,0.08679082807002951,0.36286360248743904,0.08679082807002951,112,False
reg_housing_secondary_MA6,h=2,0.08668043788358708,0.36789511332080216,0.08668043788358708,110,False
prod_L3,h=2,-0.0866717776047488,0.35917941131238684,0.0866717776047488,114,False
ki_i_D1,h=2,0.0866383837982709,0.35509133665975495,0.0866383837982709,116,False
ibved_m_D1,h=2,-0.08661202370200598,0.576139881507065,0.08661202370200598,44,False
reg_ind_prod_L6,h=2,0.0862566817189999,0.368033829741524,0.0862566817189999,111,False
reg_services_L1,h=2,0.08578358840074904,0.3865731945182104,0.08578358840074904,104,False
Ruonia_L3,h=2,-0.0856000791306621,0.36517414558748534,0.0856000791306621,114,False
Ruonia_STD3,h=2,-0.08542828937061496,0.3640001178461953,0.08542828937061496,115,False
reg_agri_prices_D3,h=2,-0.08519721405638021,0.36744349086238315,0.08519721405638021,114,False
reg_wage_agri_L12,h=2,0.08468775610215781,0.39036927835455454,0.08468775610215781,105,False
ki_i_L9,h=2,0.08432780904407576,0.38555324275934055,0.08432780904407576,108,False
usd_D1,h=2,-0.08194597782323827,0.38184652611657127,0.08194597782323827,116,False
reg_ind_prod_L7,h=2,0.07967705607443491,0.40799312808560273,0.07967705607443491,110,False
reg_construction_L2,h=2,-0.07956139271185811,0.3979873435460614,0.07956139271185811,115,False
reg_wage_agri_L2,h=2,0.07906852477044941,0.4009259342861012,0.07906852477044941,115,False
reg_agri_prices_D12,h=2,0.07900105584670829,0.42308376405288983,0.07900105584670829,105,False
reg_services_MA6,h=2,0.07835365782877995,0.43841179918903506,0.07835365782877995,100,False
reg_housing_primary_D1,h=2,0.07790123091566686,0.4100281923856856,0.07790123091566686,114,False
reg_payables_L3,h=2,-0.07665858930955283,0.4175590429951474,0.07665858930955283,114,False
reg_profit_D3,h=2,-0.07659677056522687,0.4179357740838909,0.07659677056522687,114,False
reg_income_nom_MA6,h=2,0.07611556217321278,0.42933229231182696,0.07611556217321278,110,False
reg_wage_L12,h=2,0.07594869413177406,0.44127633630692337,0.07594869413177406,105,False
reg_income_nom_D1,h=2,0.07594709168607888,0.42190692710326133,0.07594709168607888,114,False
reg_ind_prod_MA6,h=2,-0.07545065361303233,0.4291396690331025,0.07545065361303233,112,False
serv_L3,h=2,-0.07525262749929086,0.4261758650923015,0.07525262749929086,114,False
