Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,N_obs
ki_i_D3,0.38138532200215597,2.607274907927517e-05,0.212352852881477,0.022702508029287825,0.38138532200215597,115
month_cos,0.3785287535840913,2.3737915742028773e-05,0.5115226221949863,3.229248840467188e-09,0.3785287535840913,118
nonprod_L0,0.37634102080372,2.6682432143524208e-05,0.24716168508749964,0.006969875099720793,0.37634102080372,118
nonprod,0.37634102080372,2.6682432143524208e-05,0.24716168508749964,0.006969875099720793,0.37634102080372,118
usd_MA3,-0.37148496964743866,4.0326162289330296e-05,-0.24314805856906624,0.008538044809384387,0.37148496964743866,116
prod_D3,0.3700592641231977,4.689763087416745e-05,0.34227602817103636,0.00018100652513254088,0.3700592641231977,115
nonprod_D3,0.3655647945864955,5.884800943705326e-05,0.07861672452701471,0.40363093226601543,0.3655647945864955,115
ki_STD6,0.359395882613413,9.252317958661379e-05,0.16349639706661145,0.08357135207591378,0.359395882613413,113
reg_unknown20,0.3427318948257,0.0018577640140123876,0.19147443750258053,0.08886285824484035,0.3427318948257,80
reg_unknown20_L0,0.3427318948257,0.0018577640140123876,0.19147443750258053,0.08886285824484035,0.3427318948257,80
reg_retail_STD3,0.3426695320251539,0.00016631155051898187,0.3336421884600368,0.00025224332291729065,0.3426695320251539,116
reg_services_L8,0.3425348029855095,0.0005554664379339234,0.15958091325091672,0.1165134152265343,0.3425348029855095,98
ki_i_D12,0.33213900605337465,0.0005045557423217338,0.21647063499709174,0.025829015586840486,0.33213900605337465,106
is_q1,0.3307489980375104,0.00025407236350155843,0.31114680058492483,0.000604743141784359,0.3307489980375104,118
brent_MA6,0.31568728278317026,0.08363129358464753,0.35507611834850145,0.04997911818902501,0.31568728278317026,31
reg_services_L10,0.3141214573645554,0.0018287313875186176,0.055495066633385194,0.591247026010677,0.3141214573645554,96
reg_construction_STD6,-0.3076555733101049,0.000916946583536033,-0.3935246826456181,1.617675112034511e-05,0.3076555733101049,113
ki_D6,0.3064946708140112,0.0010136077513323042,0.41123138285831057,6.663304856904833e-06,0.3064946708140112,112
brent_MA3,0.30316816147538944,0.011967952702342915,0.2544316098977856,0.03627868289991021,0.30316816147538944,68
prod_L11,0.3031670371495232,0.0015024868325865688,0.4428727161762666,1.7815860982425934e-06,0.3031670371495232,107
reg_shipped_STD3,0.2974306556908898,0.0011851014518335732,0.16098715399194774,0.08427784740643945,0.2974306556908898,116
ki_i_D6,0.2970150557569404,0.001472067004731131,0.27564864579895487,0.0032643919486956947,0.2970150557569404,112
nonprod_D12,0.29428948986688613,0.002198041826327167,0.3032685902511802,0.0015772010174251133,0.29428948986688613,106
brent_D3,0.29361941347308784,0.005776467724554256,0.07965787381018617,0.4633027498024933,0.29361941347308784,87
Ruonia_D6,0.28507666975120594,0.002314431166975675,0.23751522953267837,0.011681581618725921,0.28507666975120594,112
is_jul,-0.2787125322933487,0.0022419009479675784,-0.3841722550017342,1.748854201125604e-05,0.2787125322933487,118
usd_L0,-0.2775488702883863,0.0023432953871765343,-0.16727550385472592,0.07021628079322331,0.2775488702883863,118
usd,-0.2775488702883863,0.0023432953871765343,-0.16727550385472592,0.07021628079322331,0.2775488702883863,118
ki_STD3,0.2764302108626998,0.0026666495160235933,0.1336752927487053,0.15255517349117828,0.2764302108626998,116
reg_housing_secondary_L10,0.2757791323742162,0.0042182531064973595,0.07845718534164726,0.42404583813867436,0.2757791323742162,106
nonprod_D1,0.2744529534578213,0.0027488412167189597,0.09995091171877139,0.2836238058753101,0.2744529534578213,117
reg_housing_secondary_L11,0.27363046156097265,0.004736484162398857,0.15892269251850205,0.10538525156512815,0.27363046156097265,105
reg_services_MA12,0.27362427018224056,0.0072951327034347195,0.14154265213119688,0.17124224683032244,0.27362427018224056,95
Ruonia_D12,0.27176362970427365,0.004831716016575998,0.23374234689136944,0.015887204555797847,0.27176362970427365,106
usd_MA6,-0.2703844945862833,0.0037744391369010383,-0.23962033459591156,0.010581223337261868,0.2703844945862833,113
mom_D12,0.2687085498337905,0.005350481964167739,0.260341032247714,0.007033852932262786,0.2687085498337905,106
mom_D1,0.26267282931143976,0.004220987293701582,0.07719618401640836,0.4080813742676648,0.26267282931143976,117
usd_L1,-0.2613385812927557,0.004425899929704486,-0.21727154722088726,0.01861754448091384,0.2613385812927557,117
reg_profit_MA6,-0.2583438363816817,0.005731454508693278,-0.2568370459722941,0.006031142679637835,0.2583438363816817,113
ki_i_D1,0.25821286205296295,0.0049411773447075305,0.1252884623928237,0.1783148726723384,0.25821286205296295,117
reg_unknown20_MA6,0.2562021349664461,0.02650836483461533,0.1898803526783373,0.10274812427636834,0.2562021349664461,75
ki_L3,0.25586529284901766,0.005780584162812993,0.16142722839214937,0.08479346034044519,0.25586529284901766,115
prod_MA3,0.2519268072280725,0.0063700653297130315,0.2883058678826111,0.0016984810394795674,0.2519268072280725,116
reg_construction_MA12,-0.2505729109352728,0.00923658372710611,-0.23184547181399565,0.016265755624439052,0.2505729109352728,107
reg_unknown20_MA12,0.2502628341237959,0.03808023121531993,0.15997807668582278,0.18915742951140893,0.2502628341237959,69
ki_i_MA12,0.2483381222990619,0.00990308564128629,0.18972048680088371,0.05031828143726569,0.2483381222990619,107
brent_D12,0.24126466406890398,0.03453280294907126,0.18820822984796393,0.10117318385673674,0.24126466406890398,77
usd_MA12,-0.24100071412696306,0.012397472020403186,-0.2594199253980868,0.006969434557660538,0.24100071412696306,107
ki_i_MA6,0.2397950372063813,0.010522977165268208,0.22477078477619727,0.01668886190865743,0.2397950372063813,113
prod_L10,0.23598699323234873,0.013942407177080103,0.3794088306848188,5.1317270055737494e-05,0.23598699323234873,108
ki_L2,0.2349892071571415,0.011111799053243849,0.18937341392247256,0.04175160352129924,0.2349892071571415,116
reg_construction_MA3,-0.23467761019531025,0.011222318624491395,-0.3049507707673231,0.0008731410551188677,0.23467761019531025,116
ki_L4,0.23439209357449764,0.01206923101742684,0.09501270981743697,0.3146295979843924,0.23439209357449764,114
brent,0.2341082675156829,0.017872532036267572,0.17590956390151302,0.07697368679555963,0.2341082675156829,102
brent_L0,0.2341082675156829,0.017872532036267572,0.17590956390151302,0.07697368679555963,0.2341082675156829,102
nonprod_D6,0.2310298473512601,0.014253390760239041,0.1165469502502953,0.22104458037299818,0.2310298473512601,112
reg_housing_secondary_L9,0.2292023390349203,0.01756105755496457,0.00842859206858167,0.9313364371054509,0.2292023390349203,107
prod_L12,0.22820150166395578,0.018634932144968953,0.326945704887059,0.0006245692766531373,0.22820150166395578,106
reg_services_L9,0.22807255734934304,0.024650585805014887,0.15423996365389672,0.13144278659199665,0.22807255734934304,97
reg_retail_L6,0.22779049593425485,0.015713203869428566,0.2604840621755205,0.005540001962842332,0.22779049593425485,112
reg_ind_prod_L2,-0.2268750173066621,0.014322122895135661,-0.2931780573478198,0.0014035691766452107,0.2268750173066621,116
prod_D1,0.22671199949244764,0.013970117604731356,0.09755773165277155,0.2953686044092322,0.22671199949244764,117
reg_construction_L2,-0.22549043189405282,0.014943882408498334,-0.3178648955393297,0.0005069300320048184,0.22549043189405282,116
reg_housing_secondary_MA12,0.22484803743225942,0.021108473534202133,0.1692617555119493,0.08432346315983806,0.22484803743225942,105
ki_D12,0.22472800200138446,0.020558810432156897,0.3134974764059183,0.001066819518950429,0.22472800200138446,106
reg_ind_prod_L1,-0.22286139531276414,0.015727010121352508,-0.2127281692273839,0.02129433508728354,0.22286139531276414,117
reg_unknown20_D12,0.22224384845834055,0.06852387925173531,0.08781069856282789,0.4764288712378699,0.22224384845834055,68
